               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.067838,            0.031309,            0.007632,             0.33294,             0.53775,             0.39601,             0.13683,            0.059321,            0.018785,           0.0071388,            0.009307,            0.009307,            0.009307
                  37,            0.067081,            0.033008,           0.0070994,             0.36641,             0.56513,             0.44006,             0.15871,            0.056352,            0.019206,           0.0053474,           0.0092872,           0.0092872,           0.0092872
                  38,            0.066488,            0.028428,           0.0075559,             0.38258,             0.58686,             0.42208,             0.15426,            0.055171,            0.019129,           0.0051533,           0.0092674,           0.0092674,           0.0092674
                  39,            0.065152,            0.036881,            0.010774,             0.39795,             0.58243,             0.46436,             0.18669,            0.055818,            0.018761,           0.0048618,           0.0092476,           0.0092476,           0.0092476
                  40,            0.062527,            0.028015,           0.0075541,             0.51197,             0.55591,             0.52467,             0.17365,            0.058537,            0.018022,           0.0047192,           0.0092278,           0.0092278,           0.0092278
                  41,            0.065396,             0.02635,            0.011773,             0.40028,             0.58615,             0.48598,             0.19263,            0.056913,            0.018489,           0.0048615,            0.009208,            0.009208,            0.009208
                  42,            0.056745,            0.028057,           0.0076598,             0.49629,              0.5419,              0.5264,             0.20475,            0.056213,            0.018474,           0.0046907,           0.0091882,           0.0091882,           0.0091882
                  43,            0.062584,            0.025213,             0.01121,             0.52227,             0.58321,              0.5832,             0.23783,            0.052737,            0.018466,            0.004628,           0.0091684,           0.0091684,           0.0091684
                  44,            0.064547,            0.024975,           0.0073833,             0.59627,             0.62202,             0.59592,             0.24879,            0.052716,            0.018181,           0.0045784,           0.0091486,           0.0091486,           0.0091486
                  45,            0.063583,            0.033123,           0.0099461,             0.51134,              0.6141,             0.57233,             0.21598,            0.051972,            0.019061,           0.0047283,           0.0091288,           0.0091288,           0.0091288
                  46,             0.06498,            0.033681,           0.0068129,             0.45566,             0.57962,             0.51417,             0.20555,             0.05289,            0.018584,           0.0066342,            0.009109,            0.009109,            0.009109
                  47,             0.06237,            0.028387,           0.0091106,             0.53765,             0.57422,             0.54305,             0.20776,            0.052779,            0.018084,           0.0054392,           0.0090892,           0.0090892,           0.0090892
